"","season","route_id","stop_name","parent_station","avg_boardings","avg_alightings"
"1","Fall 2019","Blue","Airport","place-aport",527.631837307153,457.286816269285
"2","Fall 2019","Blue","Aquarium","place-aqucl",324.871669004208,316.232117812062
"3","Fall 2019","Blue","Beachmont","place-bmmnl",219.131136044881,226.452314165498
"4","Fall 2019","Blue","Bowdoin","place-bomnl",140.035764375877,137.805049088359
"5","Fall 2019","Blue","Government Center","place-gover",875.556100981767,753.568022440393
"6","Fall 2019","Blue","Maverick","place-mvbcl",763.730014025245,824.736325385694
"7","Fall 2019","Blue","Orient Heights","place-orhte",299.087657784011,235.647265077139
"8","Fall 2019","Blue","Revere Beach","place-rbmnl",208.198457223001,236.611500701262
"9","Fall 2019","Blue","State Street","place-state",901.021037868163,1067.75175315568
"10","Fall 2019","Blue","Suffolk Downs","place-sdmnl",50.5343618513324,53.6444600280505
"11","Fall 2019","Blue","Wonderland","place-wondl",405.685834502104,406.399018232819
"12","Fall 2019","Blue","Wood Island","place-wimnl",136.40603085554,135.755259467041
"13","Fall 2019","Green","Allston Street","place-alsgr",29.7931276297335,26.9992987377279
"14","Fall 2019","Green","Arlington","place-armnl",529.094670406732,511.4698457223
"15","Fall 2019","Green","Babcock Street","place-babck",34.8990182328191,40.9600280504909
"16","Fall 2019","Green","Back of the Hill","place-bckhl",4.83169705469846,7.74964936886396
"17","Fall 2019","Green","Beaconsfield","place-bcnfd",19.0161290322581,21.781206171108
"18","Fall 2019","Green","Blandford Street","place-bland",25.0266479663394,27.726507713885
"19","Fall 2019","Green","Boston College","place-lake",12.5462833099579,8.92706872370266
"20","Fall 2019","Green","Boston Univ. Central","place-bucen",33.7931276297335,34.1746143057504
"21","Fall 2019","Green","Boston Univ. East","place-buest",26.4964936886395,23.6802244039271
"22","Fall 2019","Green","Boston Univ. West","place-buwst",18.2840112201964,17.0834502103787
"23","Fall 2019","Green","Boylston","place-boyls",484.553997194951,422.423562412342
"24","Fall 2019","Green","Brandon Hall","place-bndhl",7.49719495091164,7.33239831697055
"25","Fall 2019","Green","Brigham Circle","place-brmnl",54.2166900420757,52.1129032258064
"26","Fall 2019","Green","Brookline Hills","place-brkhl",22.8653576437588,18.0301542776999
"27","Fall 2019","Green","Brookline Village","place-bvmnl",44.2798036465638,49.9698457223001
"28","Fall 2019","Green","Chestnut Hill","place-chhil",23.335904628331,17.9424964936886
"29","Fall 2019","Green","Chestnut Hill Ave.","place-chill",12.1276297335203,12.554698457223
"30","Fall 2019","Green","Chiswick Road","place-chswk",16.694950911641,18.2166900420757
"31","Fall 2019","Green","Cleveland Circle","place-clmnl",15.2854137447405,10.2433380084151
"32","Fall 2019","Green","Coolidge Corner","place-cool",62.6886395511921,64.8015427769986
"33","Fall 2019","Green","Copley","place-coecl",898.81206171108,819.758064516129
"34","Fall 2019","Green","Dean Road","place-denrd",10.7994389901823,11.4509116409537
"35","Fall 2019","Green","Eliot","place-eliot",13.2685834502104,9.46774193548387
"36","Fall 2019","Green","Englewood Ave.","place-engav",15.2791023842917,32.0603085553997
"37","Fall 2019","Green","Fairbanks Street","place-fbkst",13.2321178120617,11.6311360448808
"38","Fall 2019","Green","Fenway","place-fenwy",39.3821879382889,43.5007012622721
"39","Fall 2019","Green","Fenwood Road","place-fenwd",9.66619915848527,20.0876577840112
"40","Fall 2019","Green","Government Center","place-gover",939.450210378682,1042.90112201964
"41","Fall 2019","Green","Griggs Street","place-grigg",35.1542776998597,31.4803646563815
"42","Fall 2019","Green","Harvard Ave.","place-harvd",64.3877980364656,98.577840112202
"43","Fall 2019","Green","Hawes Street","place-hwsst",7.19354838709677,9.55049088359046
"44","Fall 2019","Green","Haymarket","place-haecl",380.073632538569,402.505610098177
"45","Fall 2019","Green","Heath Street","place-hsmnl",18.6542776998597,17.4368863955119
"46","Fall 2019","Green","Hynes Convention Center","place-hymnl",530.390603085554,459.107994389902
"47","Fall 2019","Green","Kenmore","place-kencl",595.748948106592,600.82889200561
"48","Fall 2019","Green","Kent Street","place-kntst",8.65568022440393,6.96002805049088
"49","Fall 2019","Green","Lechmere","place-lech",369.21809256662,258.326086956522
"50","Fall 2019","Green","Longwood","place-longw",32.0750350631136,38.539270687237
"51","Fall 2019","Green","Longwood Medical Area","place-lngmd",49.0904628330996,55.0497896213184
"52","Fall 2019","Green","Mission Park","place-mispk",19.2180925666199,26.9670406732118
"53","Fall 2019","Green","Museum of Fine Arts","place-mfa",34.4046283309958,33.1192145862553
"54","Fall 2019","Green","Newton Centre","place-newto",25.8464235624123,20.8555399719495
"55","Fall 2019","Green","Newton Highlands","place-newtn",22.687237026648,25.6879382889201
"56","Fall 2019","Green","North Station","place-north",473.650070126227,460.279803646564
"57","Fall 2019","Green","Northeastern University","place-nuniv",48.7166900420757,76.7748948106592
"58","Fall 2019","Green","Packards Corner","place-brico",42.9754558204769,40.2931276297335
"59","Fall 2019","Green","Park Street","place-pktrm",1773.68232819074,1884.76928471248
"60","Fall 2019","Green","Pleasant Street","place-plsgr",23.3849929873773,20.3934081346424
"61","Fall 2019","Green","Prudential","place-prmnl",219.577840112202,190.591164095372
"62","Fall 2019","Green","Reservoir","place-rsmnl",33.0631136044881,44.4971949509116
"63","Fall 2019","Green","Riverside","place-river",25.4747545582048,17.4579242636746
"64","Fall 2019","Green","Riverway","place-rvrwy",16.6711079943899,25.8099579242637
"65","Fall 2019","Green","Saint Mary Street","place-smary",29.2545582047686,41.1591865357644
